ID,Label,Description
1153883892421517313,Figurative Mentions,migraine
1147520404145233920,Figurative Mentions,headache
1157147451133837318,Figurative Mentions,cough
1153840776922767360,Figurative Mentions,headache
813194630468665344,Other Mentions,stroke
1148861075527540737,Other Mentions,parkinson
1153467616150917120,Health mentions,headache
1153429298260434947,Figurative Mentions,migraine
1153401791519662080,Figurative Mentions,migraine
902721220625522690,Other Mentions,cancer
1147226245702324225,Health mentions,migraine
1155017761338343425,Other Mentions,parkinson
1158374284189929474,Figurative Mentions,cough
1158172249075019776,Other Mentions,cough
1153533827295383552,Health mentions,headache
1153495409614118912,Health mentions,fever
1148236053456785409,Other Mentions,cancer
1154114537437556736,Figurative Mentions,fever
1147525509280088064,Figurative Mentions,headache
813204655568261121,Health mentions,stroke
1148229767021367297,Other Mentions,parkinson
1153238764489023489,Figurative Mentions,heart attack
813127773094957056,Other Mentions,parkinson
1153688523469406209,Health mentions,migraine
1153678608830849024,Figurative Mentions,stroke
1154116388686114816,Other Mentions,cancer
1148840961134551040,Other Mentions,stroke
1158531916800450561,Other Mentions,alzheimer
813195605396713472,Figurative Mentions,stroke
1148295699483766785,Other Mentions,parkinson
1154051485715451909,Figurative Mentions,depression
1153127117816832006,Other Mentions,stroke
1153653548430843905,Figurative Mentions,heart attack
813214047113977856,Other Mentions,stroke
1158150367957229569,Other Mentions,cough
811761126249734144,Health mentions,depression
1153401618781614081,Other Mentions,depression
1153655746573295618,Health mentions,depression
902649668005273600,Other Mentions,alzheimer
905557026062745600,Figurative Mentions,cancer
1153496268402024450,Health mentions,fever
1154661185863782400,Other Mentions,alzheimer
1147167682053079041,Health mentions,migraine
1153627638688362496,Other Mentions,alzheimer
1147530796909117440,Other Mentions,migraine
905444250049015809,Other Mentions,alzheimer
1154401009344634881,Other Mentions,parkinson
1153985034434613248,Figurative Mentions,fever
1158860630108954624,Other Mentions,cough
1157143913074835457,Other Mentions,cough
1148230456954900481,Other Mentions,depression
812852836602171392,Other Mentions,parkinson
1157417057216073733,Figurative Mentions,cough
1154016312320024581,Other Mentions,headache
1153603918892556288,Figurative Mentions,stroke
1153655701924806657,Other Mentions,stroke
1153660519510941703,Figurative Mentions,heart attack
811767967621021696,Health mentions,depression
1148259519371370497,Other Mentions,stroke
1153994289921363968,Figurative Mentions,fever
1153660357606596608,Health mentions,fever
1153643813652639745,Other Mentions,alzheimer
811705321018294272,Other Mentions,cancer
811657573556424708,Health mentions,heart attack
905541665263366144,Other Mentions,depression
811649638960955392,Figurative Mentions,heart attack
1158466499570360320,Figurative Mentions,cough
1153101699638108160,Other Mentions,parkinson
1153510286021799939,Health mentions,migraine
905543006689923073,Other Mentions,depression
903020971438858240,Other Mentions,alzheimer
1148373549628870656,Health mentions,parkinson
1153995980687233026,Other Mentions,fever
1153560518919106561,Figurative Mentions,heart attack
1158584713021415425,Figurative Mentions,cough
1158497925904969728,Other Mentions,cough
1153246754176819200,Health mentions,headache
1153405908195540992,Figurative Mentions,headache
1153848422522208256,Figurative Mentions,depression
1153668505700642817,Figurative Mentions,fever
1158175686332489728,Figurative Mentions,cough
1155189898900623360,Other Mentions,alzheimer
905544301987471361,Other Mentions,cancer
1153418142900785158,Health mentions,migraine
902612168528453632,Other Mentions,parkinson
1147452057202417664,Figurative Mentions,migraine
1147476813586804736,Health mentions,headache
1153460526686433280,Figurative Mentions,depression
1153502703999303681,Health mentions,headache
1154460042080522240,Figurative Mentions,depression
902665408536338432,Other Mentions,stroke
1153483646122151936,Figurative Mentions,migraine
1153718203337596928,Figurative Mentions,stroke
1153717369723850752,Health mentions,parkinson
1153833066974126081,Figurative Mentions,heart attack
1154024754598285312,Figurative Mentions,stroke
1153271054506299392,Health mentions,heart attack
1158825711739838467,Health mentions,cough
1153480927747694597,Health mentions,migraine
1153750050788368384,Health mentions,headache
1148850676421804038,Figurative Mentions,heart attack
902720968514260996,Other Mentions,cancer
902660772228202496,Other Mentions,stroke
811761651628314624,Health mentions,alzheimer
811662558365175808,Other Mentions,alzheimer
1158758387410186240,Other Mentions,cough
903018696632930315,Other Mentions,stroke
905477278762721280,Other Mentions,alzheimer
1147182254449258502,Health mentions,migraine
1153698453765140481,Health mentions,stroke
1158381092652670976,Other Mentions,alzheimer
1153415436521955328,Health mentions,fever
1153499709018742785,Other Mentions,cancer
1147158520523104261,Health mentions,migraine
813220933544579072,Other Mentions,stroke
1154116607536447488,Other Mentions,depression
905542872656748544,Health mentions,depression
1148281885287731200,Figurative Mentions,heart attack
1158474130452299781,Other Mentions,parkinson
1153818360573878272,Health mentions,stroke
1146968807543640064,Figurative Mentions,headache
902719115630186497,Other Mentions,cancer
1147055163506663424,Figurative Mentions,migraine
1154056967025057793,Health mentions,heart attack
1147173804852035586,Health mentions,headache
811761994298748928,Other Mentions,depression
902680413016961024,Figurative Mentions,heart attack
1153728382556921856,Health mentions,migraine
1154029669965938688,Health mentions,parkinson
1158531109937917953,Figurative Mentions,cough
1156992432409653248,Other Mentions,alzheimer
811671320689856516,Other Mentions,heart attack
1153759780147781632,Other Mentions,alzheimer
812691225581002753,Other Mentions,parkinson
1147186980410839041,Health mentions,headache
1153985083226935298,Other Mentions,stroke
1154080232321748992,Health mentions,migraine
1153620081001340928,Health mentions,migraine
1153231756893544449,Figurative Mentions,stroke
1155056668876529666,Health mentions,fever
1153864527840026624,Health mentions,headache
1158179429585162245,Health mentions,cough
1153234378056585221,Other Mentions,parkinson
811708548316938240,Other Mentions,cancer
902720708693950464,Other Mentions,cancer
811679649193398274,Other Mentions,alzheimer
1153267637398511616,Health mentions,heart attack
1155978826603610112,Other Mentions,alzheimer
1147125147540893696,Health mentions,headache
902686654628073472,Other Mentions,depression
1158718405811351553,Figurative Mentions,cough
1153680680846426113,Figurative Mentions,depression
1147561184201191425,Health mentions,migraine
1153891680858148864,Health mentions,fever
1153086266184888320,Health mentions,parkinson
1153265372176367616,Health mentions,migraine
905802868044820480,Other Mentions,parkinson
1148275145850703873,Health mentions,stroke
1153242341026738176,Other Mentions,fever
1157005645113155585,Other Mentions,alzheimer
1158483608954425345,Other Mentions,parkinson
905506645765173249,Other Mentions,heart attack
1147490751816880129,Other Mentions,migraine
905559029694398464,Other Mentions,cancer
902718733529083908,Other Mentions,cancer
1158467468073062401,Other Mentions,parkinson
1147156102280335361,Other Mentions,headache
811673614999310336,Figurative Mentions,heart attack
811760937459814400,Other Mentions,alzheimer
1153880220312543232,Other Mentions,depression
1153711367901388802,Other Mentions,parkinson
1153084814217687046,Other Mentions,cancer
1153731469640130561,Health mentions,fever
813208628761137152,Other Mentions,alzheimer
1153400494389420033,Figurative Mentions,heart attack
1153843696070086658,Health mentions,headache
1153140877700694016,Health mentions,depression
1154013599599403009,Other Mentions,alzheimer
905507310973407232,Figurative Mentions,heart attack
1153454588940435456,Other Mentions,heart attack
1153812643230019587,Health mentions,headache
1148286761103216645,Figurative Mentions,heart attack
1153411391648346112,Figurative Mentions,heart attack
1154045092572753920,Other Mentions,parkinson
1154100222777274369,Health mentions,cancer
1153725567604334592,Figurative Mentions,heart attack
1147157364472197120,Figurative Mentions,headache
1154111506218475520,Other Mentions,parkinson
1158717027982499840,Other Mentions,alzheimer
1153414614975229952,Health mentions,headache
811761456245075968,Other Mentions,depression
1153624404506685440,Figurative Mentions,headache
902684310938857473,Figurative Mentions,heart attack
811709676890898432,Figurative Mentions,alzheimer
902663039387926529,Other Mentions,alzheimer
1153788944653307906,Other Mentions,cancer
905491290384683008,Other Mentions,alzheimer
1153844921142525952,Health mentions,depression
905534788219654144,Other Mentions,stroke
813210550079463424,Other Mentions,parkinson
905620933905334272,Other Mentions,cancer
1153652230899281920,Other Mentions,cancer
903017567715041280,Other Mentions,alzheimer
1147260613862809600,Figurative Mentions,headache
905520050546855938,Other Mentions,stroke
811728848949755904,Other Mentions,alzheimer
1154228414817001472,Figurative Mentions,fever
1158722978655268864,Figurative Mentions,cough
1147349443320008706,Figurative Mentions,migraine
1148233298826731520,Other Mentions,cancer
1153549986971471872,Health mentions,migraine
1153844541755219968,Figurative Mentions,migraine
1153878424898793473,Health mentions,fever
1157097939287891969,Other Mentions,cough
1147174684569432064,Health mentions,headache
1154452895808409601,Other Mentions,parkinson
1154088938128232448,Health mentions,migraine
905517981073100801,Other Mentions,stroke
1157137803244740608,Figurative Mentions,cough
905539450809311232,Other Mentions,stroke
1155186805135687680,Figurative Mentions,heart attack
1153797222540042241,Other Mentions,heart attack
1147135682537672705,Figurative Mentions,headache
1153467030646865921,Health mentions,fever
1153895778957647872,Health mentions,fever
1157032827575255040,Figurative Mentions,parkinson
1155107339969556480,Other Mentions,alzheimer
1156938137467314177,Other Mentions,parkinson
1158484329846190081,Health mentions,cancer
1153681180258181120,Other Mentions,migraine
1153533863785897985,Figurative Mentions,fever
812789128500809729,Figurative Mentions,parkinson
1147234991593656320,Health mentions,migraine
1158198821819600898,Figurative Mentions,cough
1153729188773400577,Other Mentions,depression
811692155177758720,Other Mentions,alzheimer
1153672867709640704,Health mentions,fever
1153144746426163200,Other Mentions,fever
1153760068632027136,Other Mentions,fever
1153085131340439557,Figurative Mentions,stroke
902717296564719616,Other Mentions,cancer
903022973405319172,Other Mentions,depression
1154079893958864897,Health mentions,migraine
1153400968672923650,Figurative Mentions,headache
1158546747569975296,Figurative Mentions,cough
1153712490024448000,Other Mentions,fever
1153541201666170881,Figurative Mentions,stroke
1153666106273480705,Other Mentions,cancer
811701714122317824,Other Mentions,alzheimer
1153606721081753600,Other Mentions,fever
1153120219277275137,Health mentions,migraine
811708729276043264,Other Mentions,cancer
1153882648579846144,Figurative Mentions,fever
1153095410669371392,Figurative Mentions,fever
1153405421979361280,Health mentions,fever
1154441175803158529,Other Mentions,parkinson
1153457795699826689,Other Mentions,cancer
1153508819600728064,Figurative Mentions,depression
1153749870563471360,Figurative Mentions,headache
905541303710212096,Health mentions,depression
1147139513162113024,Health mentions,migraine
1147262473105530880,Other Mentions,headache
1153624180056875010,Figurative Mentions,fever
1148300723517607936,Other Mentions,depression
1147252633834573824,Other Mentions,migraine
1158498513656958976,Figurative Mentions,cough
905528688229457922,Figurative Mentions,heart attack
1153492216410779648,Health mentions,fever
1153674215008043010,Other Mentions,fever
1153786375038107648,Other Mentions,alzheimer
1147516419107696640,Health mentions,migraine
1153659610840145925,Health mentions,migraine
1158833913302867968,Other Mentions,cough
1157104766453002240,Other Mentions,parkinson
811734630982422528,Figurative Mentions,alzheimer
812822470436720640,Other Mentions,parkinson
1153403849832574981,Health mentions,heart attack
1154109802244640770,Other Mentions,cancer
1154014060804886529,Figurative Mentions,depression
1153683245487337472,Figurative Mentions,heart attack
905522089188352005,Figurative Mentions,heart attack
1153693686573744128,Figurative Mentions,depression
811682760851124230,Other Mentions,alzheimer
1158493344114204672,Other Mentions,cough
1154099060682317824,Figurative Mentions,alzheimer
813218248955232256,Health mentions,stroke
1158763425775964161,Other Mentions,cough
905528009188413441,Other Mentions,stroke
1148223262045999104,Other Mentions,heart attack
1153242560737005568,Other Mentions,migraine
811703856723857409,Health mentions,heart attack
1153664341377474562,Other Mentions,heart attack
1158867778151100416,Figurative Mentions,cough
1153273556534472705,Figurative Mentions,heart attack
1153553409703895040,Figurative Mentions,heart attack
902660779731808257,Health mentions,heart attack
1154099249006690304,Other Mentions,heart attack
1154051816235118592,Health mentions,depression
1153603212265611264,Other Mentions,cancer
1148186767205502978,Figurative Mentions,depression
1148228514761416705,Other Mentions,heart attack
1153252584095768576,Figurative Mentions,heart attack
1148316555186442240,Figurative Mentions,depression
1157132118390124546,Figurative Mentions,cough
811686906341703680,Other Mentions,alzheimer
1148312512275914752,Figurative Mentions,heart attack
1153704089399824386,Other Mentions,stroke
1153260504128925696,Other Mentions,migraine
1154084781900161025,Figurative Mentions,heart attack
813222351324192768,Other Mentions,alzheimer
1147289624403832833,Health mentions,fever
1153969932679471104,Figurative Mentions,fever
1153465881940365312,Figurative Mentions,depression
1153259380328095744,Other Mentions,cancer
811705960779522048,Other Mentions,cancer
1157089825285181446,Other Mentions,cough
1153979394026721280,Other Mentions,fever
1158795015843282944,Figurative Mentions,cough
902667098618462209,Other Mentions,alzheimer
1154057382068150272,Other Mentions,alzheimer
1153771138486591488,Health mentions,headache
1153753699958886400,Figurative Mentions,fever
1156952476874104832,Other Mentions,parkinson
1154097280498176002,Health mentions,depression
1158389830092374016,Other Mentions,cough
1158986886896947205,Health mentions,cough
1153837683820642304,Figurative Mentions,stroke
811703483518820353,Other Mentions,cancer
1147512418840526849,Health mentions,migraine
1158392708765032455,Figurative Mentions,cough
1148247921202085889,Other Mentions,stroke
1158601625935798273,Figurative Mentions,cough
1153711244110680072,Figurative Mentions,depression
1154494823455502336,Figurative Mentions,parkinson
1153426473539133440,Other Mentions,stroke
1158652448552235009,Figurative Mentions,cough
1154784177453182976,Other Mentions,depression
1153614011151396865,Figurative Mentions,headache
1153274013898006533,Other Mentions,stroke
1154020137093255168,Other Mentions,cancer
1154561353123631104,Other Mentions,alzheimer
1158653883943489536,Figurative Mentions,cough
1153241347773652993,Other Mentions,fever
1153692790888566786,Other Mentions,alzheimer
1153247723744845825,Other Mentions,cancer
1153612371354685441,Health mentions,fever
1154916674694504448,Figurative Mentions,alzheimer
1148196189927612416,Other Mentions,depression
811673231530819584,Other Mentions,alzheimer
1157066013030043649,Health mentions,cough
812740268051009536,Figurative Mentions,parkinson
1153499977999683585,Figurative Mentions,fever
1153284929565806597,Health mentions,headache
1153550566733340672,Other Mentions,depression
1147347885706625024,Other Mentions,migraine
1154090039535689728,Figurative Mentions,alzheimer
811705636169728000,Health mentions,cancer
1147472955649253376,Health mentions,headache
1148231079926497280,Figurative Mentions,heart attack
1153678992119074816,Figurative Mentions,depression
811665664070909952,Other Mentions,heart attack
1158964222765629442,Health mentions,cough
1158498879698063363,Figurative Mentions,cough
1147074527878361088,Health mentions,headache
1159029585889169408,Other Mentions,parkinson
1154080490086752257,Figurative Mentions,fever
1153505195499892736,Figurative Mentions,migraine
1154007294696284160,Health mentions,fever
1153601911670628353,Health mentions,headache
1148308288167170048,Other Mentions,parkinson
812668048716939264,Other Mentions,parkinson
1155077503251374080,Other Mentions,parkinson
811759619848617984,Health mentions,depression
1147084278276263938,Health mentions,headache
1153819113812197377,Figurative Mentions,depression
1154050626168344577,Other Mentions,stroke
1153211150760337408,Figurative Mentions,fever
1157137914142179328,Other Mentions,cough
1147460605390929920,Health mentions,fever
1154001516035899392,Health mentions,fever
1148247307223220224,Figurative Mentions,heart attack
1153695294069993478,Figurative Mentions,heart attack
811666765507887104,Health mentions,heart attack
813213883297124352,Figurative Mentions,stroke
902664582099021826,Other Mentions,heart attack
811708602486493184,Other Mentions,alzheimer
1153098519986573312,Figurative Mentions,depression
1159009722370023424,Figurative Mentions,cough
811699522388770817,Other Mentions,cancer
1153980415209697280,Health mentions,headache
905458719198240769,Other Mentions,alzheimer
813215072432562176,Health mentions,stroke
903019252772474905,Other Mentions,alzheimer
1153114586037596160,Figurative Mentions,heart attack
905502110023905282,Other Mentions,alzheimer
902681395306397697,Other Mentions,stroke
1153878998067425281,Figurative Mentions,heart attack
1158671753838768128,Other Mentions,cough
1153803621613445120,Health mentions,headache
1153652827740233730,Health mentions,fever
811705118391316481,Health mentions,heart attack
1153710727242420225,Figurative Mentions,stroke
812811347700416512,Health mentions,parkinson
902684074611023877,Other Mentions,parkinson
1153739950627708931,Figurative Mentions,stroke
902659528428158976,Other Mentions,stroke
1147451237056409600,Other Mentions,migraine
905516555877920768,Figurative Mentions,stroke
1153690497107537920,Health mentions,depression
1154098472150360064,Other Mentions,parkinson
1154387046921732096,Health mentions,alzheimer
1153775243141537792,Figurative Mentions,heart attack
811765922268676096,Health mentions,depression
1153106809600774144,Figurative Mentions,heart attack
1147262673823813632,Figurative Mentions,headache
813104577595801601,Other Mentions,parkinson
1154071531435122688,Other Mentions,cancer
1148878249566638080,Other Mentions,cancer
1158522742385364992,Health mentions,cough
1153900583847260161,Other Mentions,headache
1153201393097822208,Other Mentions,stroke
1154887404031025153,Other Mentions,alzheimer
811687794875699200,Other Mentions,heart attack
1153745216135946240,Figurative Mentions,cancer
1153735967628550145,Health mentions,cancer
1154061748237979648,Other Mentions,alzheimer
1153457751214952450,Figurative Mentions,cancer
902718969471164417,Health mentions,cancer
1157147691605876737,Figurative Mentions,cough
1153845501462106112,Other Mentions,cancer
1153636384114118656,Figurative Mentions,fever
1158646110790905856,Other Mentions,cough
1153685969981153280,Other Mentions,heart attack
1153751517008207872,Figurative Mentions,migraine
1153765522468720641,Figurative Mentions,headache
1159025466008907776,Other Mentions,alzheimer
1154639998949515264,Other Mentions,parkinson
1153138750509211649,Health mentions,migraine
905540506805047298,Other Mentions,depression
1147388030086311940,Figurative Mentions,headache
902678425042866177,Figurative Mentions,heart attack
1153967614609068032,Figurative Mentions,fever
1153838685818781702,Health mentions,cancer
1153679577828302849,Other Mentions,fever
1153403972469682176,Other Mentions,stroke
1148232023653474306,Other Mentions,depression
811708077573427200,Health mentions,cancer
1158157616146763776,Other Mentions,cough
1154495691345014784,Figurative Mentions,stroke
1148317520341995525,Figurative Mentions,depression
1147319784004038656,Health mentions,headache
1158520211764420608,Figurative Mentions,cough
1158698992529760256,Other Mentions,cough
811680174911721472,Health mentions,heart attack
1158161399681617922,Figurative Mentions,cough
1153429926906933254,Health mentions,migraine
1154115001373855745,Figurative Mentions,stroke
1153746097807986689,Figurative Mentions,headache
1147525308842688512,Health mentions,migraine
1154336805849669632,Other Mentions,alzheimer
811732781797502976,Other Mentions,alzheimer
1153699239916187649,Other Mentions,stroke
1147539733842661377,Health mentions,headache
1154011851761602560,Other Mentions,alzheimer
1148195048951074816,Health mentions,stroke
1154094806962003968,Figurative Mentions,heart attack
811677800381808640,Figurative Mentions,heart attack
1153081508372107264,Health mentions,fever
1148378774796414976,Figurative Mentions,stroke
811761355489480704,Health mentions,depression
812568798331080705,Other Mentions,parkinson
1153464297974116353,Figurative Mentions,migraine
1153401581511020544,Figurative Mentions,stroke
813155354922143744,Other Mentions,stroke
1156998076848058368,Figurative Mentions,fever
1154060695232753667,Figurative Mentions,cancer
1154025689550589952,Figurative Mentions,alzheimer
1148246644829257728,Health mentions,heart attack
811780979547402242,Health mentions,depression
1153202666261975040,Health mentions,fever
811765367819403265,Health mentions,depression
1153649182886047745,Figurative Mentions,stroke
1153695506180247552,Other Mentions,fever
1153689054501691393,Health mentions,headache
1153787381268373505,Other Mentions,parkinson
1148261331189030913,Figurative Mentions,heart attack
811702587523297280,Health mentions,cancer
1147424061364023296,Figurative Mentions,migraine
1158467123456307200,Figurative Mentions,cough
1153862489433673728,Other Mentions,stroke
1153771889690578945,Other Mentions,parkinson
1153687725582761984,Other Mentions,parkinson
1154398328076922880,Other Mentions,parkinson
1153735849256935426,Figurative Mentions,depression
1158827410256568321,Health mentions,cough
1154608615182893058,Other Mentions,alzheimer
1148217726495809536,Figurative Mentions,heart attack
1153702178990776320,Health mentions,fever
1155182774678106113,Other Mentions,parkinson
1153888842442612736,Other Mentions,stroke
811709608385462272,Figurative Mentions,cancer
811703473507024896,Other Mentions,cancer
1153264046399008768,Health mentions,migraine
1153750376576761856,Other Mentions,fever
1153509154524475392,Figurative Mentions,depression
811694490025127936,Other Mentions,alzheimer
1153419382632177666,Other Mentions,stroke
1155238002173628416,Figurative Mentions,fever
1153607034425753600,Other Mentions,parkinson
905556480631468033,Other Mentions,cancer
811770096414760960,Other Mentions,depression
1158199564211490817,Figurative Mentions,cough
1154879296319549440,Other Mentions,parkinson
1154864201279651841,Other Mentions,stroke
1153715640189853696,Other Mentions,parkinson
1153410272058642441,Figurative Mentions,heart attack
1147150895832064000,Other Mentions,headache
811764747146240000,Other Mentions,depression
1153540973407817728,Figurative Mentions,heart attack
813193880246087680,Health mentions,alzheimer
1154101459291709441,Other Mentions,parkinson
1153592849721524224,Other Mentions,fever
1153246966001725441,Figurative Mentions,fever
1153126704514314241,Figurative Mentions,fever
1153103154881466368,Figurative Mentions,alzheimer
812754910898843648,Health mentions,parkinson
1153290268579368961,Figurative Mentions,heart attack
1148302599512363008,Other Mentions,depression
1154051892751679488,Other Mentions,depression
902685592877662208,Other Mentions,depression
1153656188057333761,Other Mentions,stroke
1153787068352327681,Health mentions,fever
1153845756882669570,Figurative Mentions,parkinson
1158365409256574977,Health mentions,cough
1154087055280005121,Health mentions,stroke
1153611963584454656,Other Mentions,fever
811760397166477312,Other Mentions,depression
905554083301408768,Health mentions,cancer
1154113592771391488,Figurative Mentions,fever
1153277259651919872,Other Mentions,stroke
1153865187642028032,Figurative Mentions,fever
1158397495069876224,Figurative Mentions,cough
1158636479331127299,Other Mentions,alzheimer
1157031162973491200,Other Mentions,cough
1147352320830844928,Other Mentions,migraine
1153697590870863872,Health mentions,headache
1158549441932120071,Other Mentions,cough
902684104285663232,Other Mentions,alzheimer
1153651697727737857,Other Mentions,alzheimer
1148839693418717184,Figurative Mentions,heart attack
1154009219697434629,Health mentions,fever
1153208589500084224,Figurative Mentions,fever
1153756869715988482,Figurative Mentions,fever
1154083054027194374,Figurative Mentions,heart attack
1154106523418857472,Figurative Mentions,migraine
813183874478014469,Figurative Mentions,stroke
1147290216014573570,Health mentions,migraine
811686551574941698,Figurative Mentions,heart attack
1158237300804866048,Health mentions,cough
1158511801702780928,Figurative Mentions,cough
811700592313769984,Other Mentions,cancer
1148391481427857408,Health mentions,stroke
1147341736928169984,Health mentions,fever
1153096489117204481,Figurative Mentions,fever
1153485683538796544,Other Mentions,fever
1158887889238802432,Other Mentions,parkinson
811756478486806528,Other Mentions,alzheimer
812979431400755200,Other Mentions,parkinson
1153765332022116353,Figurative Mentions,headache
813169966958592001,Other Mentions,parkinson
1153889510238740480,Figurative Mentions,cancer
1154004655178862592,Other Mentions,depression
1153699152108367872,Other Mentions,heart attack
1148291973838757896,Other Mentions,stroke
1158813596916375555,Figurative Mentions,cough
1154368287578480642,Other Mentions,parkinson
1154077884807602177,Other Mentions,depression
1154097072469139457,Other Mentions,migraine
813171668231344128,Other Mentions,stroke
1153625332303486976,Other Mentions,alzheimer
1158153842497916928,Health mentions,cough
905554845091995649,Other Mentions,cancer
1154005562146906112,Figurative Mentions,headache
1153471613771374597,Other Mentions,alzheimer
1153101555983368193,Figurative Mentions,fever
1154067665062957056,Figurative Mentions,stroke
1148389040485523464,Figurative Mentions,stroke
1147343227416174592,Figurative Mentions,migraine
1147253330676240384,Health mentions,migraine
